?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],B1.eps1 [%]
547.000014,1.319654,0.725676,0.480824,0.298962,0.750048,0.568789,0.495816,0.834174,0.620736,0.649793,0.810487,0.599383,0.352690,0.668762,0.424566,0.524192,0.040636
548.000014,1.333398,0.737911,0.485974,0.304820,0.765729,0.567941,0.492361,0.836264,0.617355,0.681715,0.814413,0.585788,0.485466,0.674097,0.438589,0.510610,0.037389
549.000014,1.328603,0.742122,0.484068,0.292193,0.767626,0.568250,0.481279,0.839840,0.632392,0.622210,0.817796,0.596498,0.375152,0.670239,0.426983,0.508355,0.039727
550.000014,1.333120,0.755974,0.486945,0.288456,0.782651,0.574061,0.475012,0.848938,0.638129,0.648732,0.830015,0.592298,0.381517,0.688303,0.438541,0.512886,0.048703
551.000014,1.345636,0.774072,0.473064,0.291675,0.791530,0.581048,0.483402,0.853676,0.647471,0.599656,0.844502,0.603745,0.267215,0.698604,0.459598,0.524344,0.061081
552.000014,1.373039,0.797409,0.497542,0.295479,0.812968,0.569101,0.506022,0.871419,0.625464,0.573271,0.856636,0.604512,0.273314,0.714802,0.476353,0.527694,0.057865
553.000014,1.394164,0.785947,0.504594,0.312030,0.818400,0.549599,0.557128,0.887087,0.639586,0.602889,0.861157,0.619910,0.246167,0.712377,0.476774,0.503164,0.045978
554.000014,1.399176,0.781568,0.516446,0.309037,0.817337,0.548734,0.539158,0.902961,0.671222,0.665963,0.869769,0.631180,0.362464,0.711759,0.452144,0.500532,0.034374
555.000014,1.407585,0.766358,0.503844,0.302273,0.813280,0.570357,0.515813,0.906766,0.697082,0.707298,0.880250,0.642317,0.338432,0.716891,0.444524,0.489548,0.039817
556.000014,1.409680,0.779973,0.506524,0.289732,0.825290,0.602467,0.473101,0.919192,0.701028,0.713165,0.900236,0.629628,0.477241,0.733995,0.439926,0.493550,0.046738
557.000014,1.430144,0.805011,0.521496,0.281087,0.839912,0.619321,0.467166,0.920599,0.679773,0.641086,0.909411,0.632150,0.377525,0.743930,0.456430,0.495385,0.059874
558.000014,1.442177,0.824174,0.522162,0.284618,0.841495,0.611430,0.460036,0.934429,0.682529,0.695901,0.927716,0.644189,0.513496,0.748616,0.459703,0.506477,0.058556
559.000014,1.450537,0.833587,0.521113,0.279742,0.845027,0.607075,0.460866,0.940118,0.680312,0.681442,0.938325,0.662495,0.412076,0.752633,0.464414,0.519437,0.066768
560.000014,1.469841,0.826346,0.525408,0.283208,0.866608,0.602180,0.471658,0.956756,0.685727,0.660878,0.944427,0.673684,0.408708,0.765615,0.476276,0.512949,0.048364
561.000014,1.485887,0.835221,0.530909,0.298532,0.893670,0.605613,0.503252,0.963642,0.689897,0.636334,0.953030,0.677416,0.390856,0.787248,0.474600,0.533851,0.042699
562.000014,1.510504,0.828452,0.521797,0.309504,0.902701,0.594011,0.504135,0.978093,0.723122,0.654357,0.969901,0.699536,0.384730,0.802194,0.482274,0.538539,0.033221
563.000014,1.527234,0.841205,0.505865,0.297584,0.900762,0.628199,0.488892,0.987777,0.724595,0.677226,0.993494,0.699195,0.403786,0.811555,0.481188,0.551452,0.052961
564.000014,1.561831,0.859860,0.519264,0.287171,0.908652,0.646845,0.478159,0.994343,0.714892,0.615978,1.008614,0.696554,0.330028,0.826744,0.520624,0.524445,0.059280
565.000014,1.586026,0.886203,0.530735,0.273435,0.935252,0.645836,0.498677,1.001067,0.698557,0.552328,1.008155,0.691931,0.337797,0.840853,0.542904,0.527440,0.050302
566.000014,1.604289,0.878869,0.536921,0.291935,0.951708,0.613196,0.525797,1.014976,0.714965,0.561646,1.002193,0.708798,0.325896,0.839717,0.545582,0.519855,0.032279
567.000014,1.611172,0.877138,0.523886,0.294598,0.965450,0.604812,0.547208,1.024237,0.729215,0.605594,0.998389,0.734371,0.432508,0.833857,0.539133,0.539644,0.026360
568.000014,1.612052,0.858412,0.515705,0.318285,0.960041,0.608306,0.565963,1.044478,0.751669,0.644229,1.012728,0.753555,0.410253,0.831362,0.524121,0.542783,0.037307
