?? [s],1.eps1 [%],2.eps1 [%],3.eps1 [%],4.eps1 [%],5.eps1 [%],6.eps1 [%],7.eps1 [%],8.eps1 [%],9.eps1 [%],10.eps1 [%],11.eps1 [%],12.eps1 [%],13.eps1 [%],14.eps1 [%],15.eps1 [%],16.eps1 [%],17.eps1 [%],18.eps1 [%],19.eps1 [%],20.eps1 [%]
466.000014,0.869561,1.129254,0.715862,0.512533,1.032030,0.723343,0.693792,0.615437,0.441461,0.253856,0.492650,0.842360,0.696894,0.838831,0.775790,0.851033,1.040096,0.861863,1.017065,0.891407
467.000014,0.836345,1.166329,0.661090,0.473668,1.009798,0.729460,0.692600,0.623323,0.432816,0.247229,0.446409,0.836703,0.703299,0.834717,0.781016,0.854736,1.077284,0.903781,1.059120,0.903440
468.000014,0.770143,1.166575,0.675134,0.458521,0.845960,0.728223,0.682370,0.632429,0.421328,0.272777,0.401417,0.857210,0.727185,0.821540,0.799262,0.852114,1.042094,0.901389,1.084732,0.921252
469.000014,0.744778,1.180000,0.671028,0.456902,0.843639,0.721817,0.654614,0.649081,0.403248,0.259146,0.382665,0.881017,0.771822,0.796966,0.835238,0.833940,1.031891,0.903950,1.109894,0.949850
470.000014,0.774915,1.182553,0.705679,0.475466,0.802345,0.707947,0.639954,0.691737,0.411538,0.238650,0.392142,0.875681,0.818933,0.787533,0.872460,0.840551,1.050380,0.932263,1.127701,0.995290
471.000014,0.847493,1.226483,0.725675,0.487992,0.935789,0.706716,0.653779,0.731337,0.400587,0.188935,0.417014,0.849313,0.859358,0.770438,0.900999,0.831293,1.061060,0.946135,1.158156,1.039455
472.000014,0.863187,1.250111,0.720610,0.544455,0.839849,0.689344,0.635124,0.750910,0.405384,0.185721,0.454018,0.832616,0.892111,0.811769,0.903231,0.826957,1.065890,0.998767,1.204121,1.074277
473.000014,0.864767,1.308321,0.751359,0.541749,0.880964,0.713935,0.656373,0.744033,0.414052,0.194839,0.476851,0.813793,0.912959,0.816134,0.904375,0.816372,1.082804,1.011427,1.255853,1.097044
474.000014,0.911083,1.343763,0.746636,0.561355,0.878057,0.711712,0.634913,0.764923,0.418653,0.271458,0.520247,0.823424,0.965406,0.838070,0.920162,0.819472,1.122870,1.044962,1.309193,1.155048
475.000014,0.918478,1.402114,0.796995,0.566068,0.915571,0.718053,0.650717,0.804735,0.404887,0.324422,0.574369,0.833232,1.020988,0.908929,0.947323,0.825933,1.171085,1.069452,1.381199,1.228320
476.000014,0.934180,1.455714,0.822862,0.617996,0.980341,0.684847,0.660748,0.831620,0.399491,0.394388,0.628771,0.866806,1.084870,1.045232,0.977524,0.856316,1.189897,1.121682,1.465352,1.301858
477.000014,0.921433,1.504773,0.900446,0.631606,0.908077,0.680240,0.773932,0.845067,0.428881,0.465240,0.644226,0.871677,1.115249,1.180023,1.018836,0.899084,1.184360,1.170521,1.539677,1.338933
478.000014,0.959870,1.508420,0.975828,0.664059,1.039305,0.674970,0.796730,0.861455,0.454082,0.512754,0.616068,0.923041,1.119545,1.273135,1.038074,0.940470,1.158557,1.191651,1.575030,1.363057
479.000014,0.981826,1.498840,1.091125,0.697475,1.056448,0.694002,0.793688,0.886831,0.461628,0.569537,0.599920,0.968758,1.115460,1.325100,1.055002,0.965627,1.158828,1.211282,1.598876,1.393713
480.000014,1.018242,1.490167,1.162079,0.768123,1.172374,0.712255,0.789637,0.873552,0.463347,0.586296,0.586850,1.035984,1.101777,1.386210,1.053261,0.994484,1.163488,1.219983,1.638148,1.423751
481.000014,1.031283,1.461781,1.231277,0.807866,1.252377,0.732035,0.867307,0.846538,0.436712,0.610270,0.572195,1.061816,1.073764,1.394196,1.090991,1.050141,1.171969,1.233188,1.685587,1.440269
482.000014,1.034766,1.447025,1.217163,0.844639,1.377620,0.734817,0.911744,0.805755,0.430625,0.627582,0.560120,1.094903,1.037810,1.379546,1.128006,1.119525,1.202859,1.248881,1.720743,1.465992
