?? [s],A 1.dY [mm],B1.dY [mm],C1.dY [mm],? 1.dY [mm],? 1-1.dY [mm],? 1-2.dY [mm],? 1-3.dY [mm],? 1-4.dY [mm],? 2.dY [mm],? 3.dY [mm]
534.500026,4.734354,4.897650,4.718196,4.756423,4.754560,4.766518,4.796331,4.780812,4.895212,4.747192
535.000026,4.736468,4.899826,4.720353,4.755119,4.751786,4.765311,4.799136,4.779884,4.894599,4.747355
535.500026,4.736835,4.900875,4.720841,4.755831,4.750705,4.767822,4.799316,4.780324,4.895698,4.746594
536.000026,4.739908,4.904460,4.723756,4.757759,4.754922,4.765463,4.801851,4.782663,4.898117,4.749091
536.500026,4.743507,4.909444,4.727575,4.764076,4.759742,4.774732,4.808692,4.788906,4.905076,4.756603
537.000026,4.746595,4.914388,4.731403,4.768289,4.762550,4.782724,4.812143,4.793244,4.910344,4.760953
537.500026,4.750894,4.919136,4.734975,4.769808,4.764144,4.783320,4.814190,4.794825,4.912387,4.763069
538.000026,4.756238,4.924803,4.739130,4.775756,4.770588,4.788765,4.819691,4.800408,4.919658,4.767613
538.500026,4.762674,4.931891,4.744993,4.782700,4.779132,4.798039,4.826617,4.807527,4.927575,4.773913
539.000026,4.767885,4.938605,4.750265,4.788040,4.783719,4.801029,4.832524,4.812982,4.934028,4.778112
539.500026,4.771871,4.944447,4.755142,4.791947,4.786018,4.805447,4.837443,4.816933,4.938980,4.781188
540.000026,4.776135,4.950577,4.759747,4.796442,4.791856,4.805641,4.842058,4.821919,4.944791,4.787067
540.500026,4.780378,4.956717,4.764754,4.802268,4.795833,4.811987,4.848211,4.828135,4.951888,4.793312
541.000026,4.785423,4.963055,4.769440,4.806691,,4.821212,4.853333,4.832694,4.957727,4.798159
541.500026,4.789986,4.968748,4.773744,4.811097,4.806056,4.823100,4.857022,4.837050,4.963408,4.802874
542.000026,4.794809,4.974498,4.777648,4.815978,4.810868,4.828598,4.861060,4.841599,4.969608,4.807212
542.500026,4.800002,4.980886,4.781920,4.820136,4.814729,4.829060,4.866577,4.845936,4.975524,4.810821
543.000026,4.805363,4.987363,4.786587,4.826518,4.819076,4.838182,4.872966,4.852341,4.983113,4.815907
543.500026,4.810070,4.993586,4.791042,4.831047,4.827528,4.841319,4.878343,4.857058,4.988978,4.819146
544.000026,4.814076,4.999052,4.795123,4.834545,4.830400,4.847469,4.881125,4.860709,4.994061,4.822247
544.500026,4.817172,5.004023,4.797853,4.838598,4.832781,4.853504,4.886655,4.865034,4.999726,4.826106
545.000026,4.820887,5.009075,4.801411,4.840567,4.836312,4.851688,4.887862,4.867252,5.003215,4.828795
545.500026,4.823691,5.013568,4.804355,4.845171,4.833245,4.855396,4.894400,4.872128,5.008764,4.833843
546.000026,4.826731,5.017618,4.807263,4.847802,4.842759,4.861460,4.895871,4.874847,5.012471,4.836424
546.500026,4.829282,5.021857,4.809969,4.849346,4.844267,4.863738,4.897912,4.876172,5.015444,4.838378
547.000026,4.832131,5.026260,4.813008,4.854148,4.848780,4.868313,4.901608,4.880878,5.021044,4.842926
