?? [s],A 1.dY [mm],A 2.dY [mm],B2.dY [mm],B 1.dY [mm],C2.dY [mm],C 1.dY [mm]
310.000000,3.121343,3.120432,3.093590,3.098098,3.089630,3.093649
320.000000,3.218418,3.217378,3.187750,3.192443,3.183351,3.187816
330.000000,3.305836,3.304758,3.272231,3.277427,3.267394,3.272343
340.000000,3.392818,3.391729,3.355991,3.361736,3.351064,3.356462
350.000000,3.477716,3.476376,3.437615,3.443728,3.432306,3.438115
360.000000,3.565993,3.564430,3.522304,3.528774,3.516782,3.522994
370.000000,3.657767,3.656168,3.610399,3.616893,3.604531,3.611138
380.000000,3.749083,3.747509,3.697783,3.704679,3.691807,3.698762
390.000000,3.807050,3.805953,3.754652,3.761827,3.747930,3.754963
400.000000,3.854329,3.853483,3.800910,3.808235,3.793306,3.800541
410.000000,3.909738,3.909080,3.854453,3.862237,3.846381,3.853811
420.000000,3.999585,3.998525,3.939361,3.947539,3.931318,3.939398
430.000000,4.091052,4.089776,4.025898,4.035119,4.018008,4.026635
440.000000,4.183639,4.182173,4.113629,4.123436,4.105361,4.114731
450.000000,4.273989,4.272518,4.199173,4.209742,4.190712,4.200639
460.000000,4.365164,4.363556,4.285299,4.296264,4.276529,4.286948
470.000000,4.420327,4.418552,4.337295,4.348495,4.328387,4.339038
471.000014,4.451583,4.449592,4.366685,4.377822,4.357649,4.368444
472.000014,4.463736,4.461663,4.378203,4.389210,4.369092,4.379869
473.000014,4.477157,4.475117,4.390883,4.401990,4.381765,4.392581
474.000014,4.490154,4.488072,4.403005,4.414317,4.393917,4.404747
475.000014,4.502176,4.500107,4.414223,4.425594,4.405183,4.416180
476.000014,4.512275,4.510131,4.423364,4.435145,4.414548,4.425532
477.000014,4.520731,4.518725,4.431267,4.443119,4.422416,4.433422
478.000014,4.527730,4.525785,4.438018,4.450010,4.428916,4.439925
479.000014,4.533361,4.531403,4.443692,4.455371,4.434221,4.445308
480.000014,4.538409,4.536227,4.448534,4.460342,4.438964,4.450095
481.000014,4.543630,4.541412,4.453546,4.465009,4.443932,4.455094
482.000014,4.550369,4.548271,4.459602,4.471199,4.450116,4.461364
483.000014,4.560980,4.559150,4.469513,4.480973,4.460117,4.471426
484.000014,4.574086,4.572182,4.481601,4.493771,4.472264,4.483654
485.000014,4.589298,4.587429,4.495875,4.507870,4.486486,4.497875
486.000014,4.603525,4.601439,4.509309,4.521145,4.499694,4.511159
487.000014,4.616189,4.613984,4.521001,4.532740,4.511508,4.523023
488.000014,4.627417,4.625084,4.531663,4.543425,4.522039,4.533676
489.000014,4.636222,4.634159,4.539827,4.551834,4.530207,4.541959
490.000014,4.643479,4.641520,4.546543,4.558679,4.536919,4.548679
491.000014,4.649451,4.647436,4.551987,4.564331,4.542463,4.554189
492.000014,4.654863,4.652601,4.557026,4.569565,4.547509,4.559220
493.000014,4.660455,4.658212,4.562440,4.574752,4.552727,4.564617
494.000014,4.666114,4.664074,4.567992,4.580427,4.558152,4.570169
495.000014,4.672135,4.670216,4.573491,4.585794,4.563570,4.575730
496.000014,4.679530,4.677557,4.580158,4.592518,4.570309,4.582456
497.000014,4.688285,4.685948,4.588277,4.600434,4.578247,4.590448
498.000014,4.700391,4.697929,4.599787,4.611916,4.589631,4.601825
499.000014,4.714552,4.712190,4.613107,4.625229,4.602857,4.615154
500.000014,4.728719,4.726440,4.626226,4.638493,4.615872,4.628269
501.000014,4.742481,4.740210,4.638987,4.651365,4.628560,4.640986
502.000014,4.754423,4.752023,4.650179,4.662907,4.639574,4.652057
503.000014,4.765367,4.762860,4.660163,4.673065,4.649643,4.662161
504.000014,4.773657,4.770972,4.667787,4.680857,4.657245,4.669779
505.000014,4.780629,4.777782,4.674431,4.687359,4.663734,4.676288
506.000014,4.786037,4.783015,4.679608,4.692664,4.668696,4.681331
507.000014,4.791130,4.788114,4.684420,4.697462,4.673403,4.686149
508.000014,4.795812,4.792770,4.688561,4.701680,4.677579,4.690293
509.000014,4.801238,4.798436,4.693591,4.706569,4.682643,4.695390
510.000014,4.807485,4.804682,4.699161,4.712178,4.688340,4.701157
511.000014,4.814696,4.811937,4.705884,4.718730,4.695035,4.707914
